# OpenSignals Text File Format. Version 1
# {"88:6B:0F:AB:F8:70": {"position": 0, "device": "musclebanplux", "device name": "EMG", "device connection": "BTH88:6B:0F:AB:F8:70", "sampling rate": 1000, "resolution": [16], "firmware version": 1026, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-1-15", "time": "16:27:50.862", "channels": [1], "sensor": ["EMG"], "label": ["EMG"], "column": ["nSeq", "EMG"], "special": [{}], "digital IO": [], "convertedValues": 0}, "88:6B:0F:AB:F7:54": {"position": 1, "device": "musclebanplux", "device name": "ACC", "device connection": "BTH88:6B:0F:AB:F7:54", "sampling rate": 1000, "resolution": [16, 16, 16, 16], "firmware version": 1026, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-1-15", "time": "16:27:50.862", "channels": [1, 2, 3, 4], "sensor": ["EMG", "gACC", "gACC", "gACC"], "label": ["EMG", "ACC_X", "ACC_Y", "ACC_Z"], "column": ["nSeq", "EMG", "ACC_X", "ACC_Y", "ACC_Z"], "special": [{}, {}, {}, {}], "digital IO": [], "convertedValues": 0}}
# EndOfHeader
5216	32432	0	32976	35412	38216	25456	
5217	32400	1	30800	39920	34860	31852	
5218	32352	2	31392	40556	34296	32960	
5219	32336	3	31728	40616	34304	32944	
5220	32464	4	31920	40512	34260	32928	
5221	32560	5	32032	40512	34260	32928	
5222	32384	6	33376	40668	34260	32936	
5223	32368	7	32624	40612	34264	32920	
5224	32416	8	31808	40672	34268	32904	
5225	32496	9	32720	40564	34284	32864	
5226	32528	10	32656	40564	34284	32864	
5227	32320	11	31680	40628	34260	32840	
5228	32560	12	31664	40624	34312	32904	
5229	32576	13	31408	40652	34284	32888	
5230	32352	14	32528	40696	34276	32888	
5231	32400	15	35008	40696	34276	32888	
5232	32400	16	35008	40688	34304	32888	
5233	32608	17	34256	40724	34280	32864	
5234	32592	18	34640	40732	34320	32912	
5235	32368	19	33920	40656	34276	32944	
5236	32160	20	30832	40656	34276	32944	
5237	32208	21	30192	40788	34328	32888	
5238	32704	22	30432	40760	34284	32952	
5239	32752	23	32016	40776	34344	32920	
5240	32704	24	34032	40688	34304	32928	
5241	32496	25	35824	40688	34304	32928	
5242	32384	26	34288	40728	34320	32944	
5243	32608	27	30416	40652	34288	32904	
5244	32736	28	30640	40716	34296	32944	
5245	32576	29	29152	40620	34304	32976	
5246	32544	30	27680	40620	34304	32976	
5247	32512	31	29248	40732	34300	32968	
5248	32400	32	32880	40716	34312	32920	
5249	32384	33	31920	40668	34244	32976	
5250	32400	34	33456	40660	34304	32952	
5251	32496	35	32256	40660	34304	32952	
5252	32336	36	31168	40652	34296	32960	
5253	32560	37	32080	40660	34336	32976	
5254	32576	38	33568	40668	34276	32968	
5255	32560	39	33168	40656	34280	32952	
5256	32288	40	33648	40656	34280	32952	
5257	32352	41	33744	40648	34344	32944	
5258	32544	42	33504	40688	34304	32928	
5259	32448	43	33728	40696	34312	32928	
5260	32528	44	33072	40732	34276	32960	
5261	32352	45	33328	40732	34276	32960	
5262	32192	46	33296	40696	34320	32936	
5263	32576	47	32656	40772	34288	32944	
5264	32448	48	32704	40680	34272	32920	
5265	32560	49	32768	40724	34276	32952	
5266	32624	50	32576	40724	34276	32952	
5267	32592	51	33024	40712	34320	32944	
5268	32672	52	32544	40792	34328	32952	
5269	32560	53	32352	40704	34320	32960	
5270	32512	54	33024	40808	34292	33024	
5271	32544	55	33168	40808	34292	33024	
5272	32576	56	32816	40780	34268	32984	
5273	32512	57	33808	40792	34268	33024	
5274	32576	58	33760	40796	34268	32992	
5275	32656	59	35696	40808	34280	33064	
5276	32448	60	36736	40808	34280	33064	
5277	32288	61	35136	40828	34312	33008	
5278	32704	62	31408	40780	34292	33024	
5279	32448	63	26048	40768	34260	33032	
5280	32608	64	23808	40752	34276	33088	
5281	32416	65	26000	40752	34276	33088	
5282	32352	66	28064	40788	34264	33064	
5283	32400	67	31024	40772	34264	33040	
5284	32496	68	33408	40716	34260	33040	
5285	32384	69	33456	40656	34268	33024	
5286	32400	70	33760	40656	34268	33024	
5287	32560	71	33328	40576	34264	32984	
5288	32336	72	33312	40624	34256	32960	
5289	32400	73	33104	40612	34288	32976	
5290	32432	74	34336	40568	34264	32928	
5291	32576	75	34048	40568	34264	32928	
5292	32528	76	34176	40588	34256	32888	
5293	32704	77	34704	40584	34248	32928	
5294	32464	78	33120	40540	34232	32928	
5295	32880	79	31200	40548	34260	32936	
5296	32544	80	32176	40548	34260	32936	
5297	32272	81	31808	40592	34264	32872	
5298	32400	82	33120	40588	34260	32864	
5299	32368	83	33664	40632	34276	32888	
5300	32496	84	33616	40620	34312	32880	
5301	32528	85	32928	40620	34312	32880	
5302	32576	86	32080	40528	34260	32864	
5303	32416	87	32560	40660	34296	32904	
5304	32352	88	33104	40648	34296	32936	
5305	32544	89	33408	40680	34304	32936	
5306	32304	90	33136	40680	34304	32936	
5307	32368	91	33168	40680	34304	32880	
5308	32688	92	32576	40672	34304	32952	
5309	32736	93	31872	40772	34344	32976	
5310	32656	94	34016	40780	34320	32984	
5311	32464	95	32608	40780	34320	32984	
5312	32480	96	32368	40768	34352	32976	
5313	32400	97	32944	40744	34312	33072	
5314	32144	98	31280	40792	34388	33024	
5315	32416	99	32336	40724	34344	33024	
5316	32352	100	32080	40724	34344	33024	
5317	32416	101	30480	40724	34360	33016	
5318	32416	102	29312	40732	34364	33072	
5319	32656	103	28480	40668	34424	33056	
5320	32624	104	28672	40648	34376	33048	
5321	32544	105	33664	40648	34376	33048	
5322	32336	106	35008	40612	34400	33032	
5323	32544	107	34144	40576	34380	32968	
5324	32304	108	33808	40600	34424	32960	
5325	32432	109	33664	40588	34384	32960	
5326	32368	110	31728	40588	34384	32960	
